"batchId","batchTitle","count_study_sequence","count_test_sequence","datetime","response","response_study_response","response_test_response","response_time","response_time_study_response","response_time_test_response","stim","studyResultId","workerId","type","tq","DTF","DTAF","DTAN","DTN_byPhase","DTN"
30,"krajcsi",74,13,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","right",2276,2227,2276,"p2sarrshacol2.png",514,"1761","sarrshacol","old",3,9.6,9.78947368421053,10.2222222222222,11.959595959596
30,"krajcsi",74,14,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","down","right","down",1702,2227,1702,"p6sarr1.png",514,"1761","diffarr","old",11,17.2,18.1578947368421,18.3333333333333,17.0505050505051
30,"krajcsi",74,15,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","right",1945,2227,1945,"p4sarrshacol3.png",514,"1761","sarrshacol","new",4,11.8,11.8947368421053,12.6666666666667,13.3131313131313
30,"krajcsi",74,16,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","right",2365,2227,2365,"p4sarrshacol4.png",514,"1761","sarrshacol","new",3,11.2,11.7368421052632,12.2222222222222,13.2424242424242
30,"krajcsi",74,17,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","right",1505,2227,1505,"p2sarrcol1.png",514,"1761","sarrcol","old",2,10.4,10.5263157894737,11.2222222222222,12.2828282828283
30,"krajcsi",74,18,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","right",1193,2227,1193,"p1sarr4.png",514,"1761","sarr","new",8,13.4,14.6315789473684,15.1111111111111,14.3737373737374
30,"krajcsi",74,19,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","left","right","left",1570,2227,1570,"p10sarr1.png",514,"1761","diffarr","old",18,17.6,14.8421052631579,14.7777777777778,17.020202020202
30,"krajcsi",74,20,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","right",1010,2227,1010,"p8sarr3.png",514,"1761","diffarr","new",22,18.2,15.2631578947368,15.6666666666667,17.7777777777778
30,"krajcsi",74,21,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","right",1291,2227,1291,"p9sarr4.png",514,"1761","diffarr","new",14,20.6,15.3684210526316,15.8888888888889,19.7575757575758
30,"krajcsi",74,22,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","left","right","left",1825,2227,1825,"p5sarrcol2.png",514,"1761","sarrcol","old",4,11.2,11.5263157894737,11.8888888888889,13.1111111111111
30,"krajcsi",74,23,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","right",1880,2227,1880,"p7sarr4.png",514,"1761","diffarr","new",17,18,15.9473684210526,16.3333333333333,17.2828282828283
30,"krajcsi",74,24,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","right",1350,2227,1350,"p3sarrsha3.png",514,"1761","sarrsha","new",3,11.2,11.3684210526316,12.2222222222222,13.8282828282828
30,"krajcsi",74,25,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","right",2065,2227,2065,"p8sarr4.png",514,"1761","diffarr","new",22,18.8,15.1052631578947,15.6666666666667,17.8686868686869
30,"krajcsi",74,26,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","right",1720,2227,1720,"p2sarrshacol4.png",514,"1761","sarrshacol","new",4,10.2,10,10.3333333333333,12.1818181818182
30,"krajcsi",74,27,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","left","right","left",2015,2227,2015,"p4sarrshacol1.png",514,"1761","sarrshacol","old",3,11.4,12.0526315789474,12.6666666666667,13.3535353535354
30,"krajcsi",74,28,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","right",2166,2227,2166,"p1sarrshacol3.png",514,"1761","sarrshacol","new",4,13,13.4736842105263,14.1111111111111,14.040404040404
30,"krajcsi",74,29,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","down","right","down",2349,2227,2349,"p2sarrsha1.png",514,"1761","sarrsha","old",4,9.8,9.63157894736842,10,11.969696969697
30,"krajcsi",74,30,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","right",1189,2227,1189,"p3sarr2.png",514,"1761","sarr","old",5,12.2,13.8421052631579,14.2222222222222,14.4848484848485
30,"krajcsi",74,31,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","right",1185,2227,1185,"p3sarrshacol3.png",514,"1761","sarrshacol","new",5,11.6,11.6315789473684,12.1111111111111,13.9090909090909
30,"krajcsi",74,32,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","down","right","down",2208,2227,2208,"p2sarrcol4.png",514,"1761","sarrcol","new",2,10.4,10.4736842105263,10.8888888888889,12.3232323232323
30,"krajcsi",74,33,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","right",2048,2227,2048,"p5sarrcol1.png",514,"1761","sarrcol","old",3,10.6,11.6842105263158,12.1111111111111,13.0505050505051
30,"krajcsi",74,34,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","right",1522,2227,1522,"p8sarr2.png",514,"1761","diffarr","old",21,18.6,15.2631578947368,15.2222222222222,17.979797979798
30,"krajcsi",74,35,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","right",2922,2227,2922,"p5sarr3.png",514,"1761","sarr","new",7,11.6,12.0526315789474,12.5555555555556,13.0505050505051
30,"krajcsi",74,36,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","left","right","left",2379,2227,2379,"p7sarr1.png",514,"1761","diffarr","old",17,17.8,15.8421052631579,16.8888888888889,17.1919191919192
30,"krajcsi",74,37,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","right",2407,2227,2407,"p1sarrcol4.png",514,"1761","sarrcol","new",5,14,13.8421052631579,14.4444444444444,14.7676767676768
30,"krajcsi",74,38,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","None","right","None",3014,2227,3014,"p3sarrsha4.png",514,"1761","sarrsha","new",4,11.6,11.6842105263158,12,13.8888888888889
30,"krajcsi",74,39,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","right",1822,2227,1822,"p3sarr1.png",514,"1761","sarr","old",7,12.6,13.4210526315789,13.4444444444444,14.3535353535354
